Customer_id,Transaction_amount,Mobile_no,Transaction_datetime
1,9842,3932558995,1663256573000
2,5595,8973883836,1665365925000
3,6220,1556798113,1644387320000
4,9224,2599665221,1650897640000
5,4302,1145216560,1637853478000
6,9441,8385904905,1648565837000
7,6298,6940706291,1638057288000
8,9748,6116976506,1657234395000
9,3618,4473715701,1666624808000
10,1057,3831583862,1650026171000
11,8633,5838887451,1638218285000
12,2068,6728636560,1644918607000
13,2479,9482439201,1653208617000
14,2832,9022117103,1654927939000
15,4516,1093276096,1661007264000
16,8873,5715630398,1665781240000
17,7830,4916610849,1655581622000
18,3036,7254704103,1652192463000
19,9443,6010868246,1638568382000
20,9336,5972704412,1651169511000
21,8569,9314605272,1665710549000
22,9998,3658451815,1654894617000
23,5540,1137684151,1660629163000
24,1229,2686422513,1649545067000
25,3643,6729672188,1645062723000
26,5469,2753858853,1659554365000
27,2393,2787223176,1659979863000
28,9606,9110947663,1661839908000
29,1034,3570798755,1655368215000
30,4037,9015274525,1637786122000
31,6686,4828615938,1652097831000
32,5771,9562608115,1648741774000
33,4570,1604378174,1642403987000
34,2658,0266503071,1661308908000
35,4127,0242660622,1652460633000
36,7573,6015080639,1639374545000
37,2311,3161461290,1660501459000
38,6231,9468114341,1640697835000
39,7983,2767257806,1661520025000
40,1402,8518677882,1663400978000
41,6616,0689852452,1651722796000
42,2289,1290535159,1645202304000
43,8956,8968417989,1637846898000
44,3048,7592159252,1659704076000
45,1242,0350531749,1656502232000
46,1977,9899992003,1642333255000
47,8858,0758881215,1657265532000
48,6420,5573896024,1654218791000
49,1197,8614452004,1636466580000
50,3207,9100422819,1651412574000
51,3938,7512096976,1637956313000
52,4980,4801936350,1645037461000
53,7254,1093771151,1663284906000
54,8012,5423198526,1658648453000
55,3599,6932228165,1664429859000
56,6569,9908592858,1658831988000
57,4238,3248074477,1649415632000
58,8239,0006874444,1644807901000
59,8395,4885645182,1662922100000
60,2259,3473352136,1658665926000
61,9780,3130118675,1648657186000
62,9298,8897556566,1644692550000
63,4340,6352585914,1642875632000
64,5788,2421862337,1658299030000
65,2320,7177179941,1652629868000
66,4577,3327691525,1636226125000
67,8815,7559041124,1639973787000
68,9808,0286409372,1647038637000
69,6175,1967763437,1645573785000
70,9552,9236625169,1649994227000
71,9937,3409020969,1664060281000
72,9535,9582749830,1664604769000
73,1262,0369829751,1653280737000
74,4076,0706470583,1663633282000
75,7903,7399209030,1665806545000
76,4678,0012702765,1656541461000
77,9428,8327213822,1659622539000
78,1684,3721325265,1664111617000
79,2112,6372464268,1663115774000
80,3951,1759246085,1650776309000
81,3715,6013681287,1636011053000
82,6338,5122751099,1662192335000
83,6534,2947459393,1662411965000
84,8140,6323109824,1663740213000
85,6393,3370755807,1640863133000
86,6956,2374181340,1644999985000
87,9185,8049004589,1641004744000
88,9338,5648933657,1658851842000
89,9385,9034924106,1645185038000
90,3291,5893331923,1647764811000
91,1039,1804031755,1661501355000
92,6262,9435012817,1652711946000
93,3099,3104866058,1660632549000
94,2576,8442892281,1646676676000
95,5461,6083018943,1647182610000
96,1239,1144417708,1648060737000
97,2814,5374313959,1653547332000
98,8319,2143808283,1652829687000
99,8656,0921982097,1664952953000
100,3645,6181571728,1651731942000
101,8175,3947425740,1650855159000
102,7334,2275733744,1646973491000
103,8806,0996050930,1646056064000
104,5488,4633549375,1647195572000
105,1276,4314862335,1636050726000
106,6968,5128113604,1661673133000
107,5799,7345259609,1647888753000
108,3264,3993273923,1659090135000
109,4970,0794220991,1643127957000
110,4826,6001887268,1635498264000
111,4032,8683249212,1643528871000
112,3882,5174048267,1661414034000
113,3124,1121242952,1651127050000
114,4506,1932454756,1653826595000
115,1659,4395705677,1636696289000
116,5533,3227938472,1653058779000
117,4590,9619633377,1662501542000
118,2175,1526951398,1651160988000
119,1669,6177159796,1642251846000
120,6358,4864343683,1647986750000
121,5486,5524518771,1651970309000
122,6203,1706446721,1662428342000
123,9481,3797444869,1653502825000
124,8141,9530056834,1642055817000
125,6580,1065816774,1641865849000
126,4435,6243563715,1663502380000
127,5906,7613071235,1642380853000
128,7343,7937981784,1656231322000
129,2331,3171820404,1657090461000
130,5882,0271877782,1653569797000
131,5752,0413392805,1659256957000
132,7850,3172263134,1647947997000
133,5505,5851632291,1638587067000
134,9450,8764127508,1665624574000
135,5475,4035968293,1645825395000
136,8295,3254150171,1637010776000
137,6316,4580504755,1651529926000
138,9845,5333959757,1639052024000
139,8577,2253596523,1660025175000
140,1879,0395415683,1643848330000
141,3107,3378528362,1647186074000
142,3618,0638551269,1658938741000
143,7474,8825985258,1662557332000
144,3569,3331996645,1659815376000
145,1105,6750206514,1656373595000
146,5646,9102748754,1643838554000
147,6600,9686959815,1644173482000
148,4338,6834078029,1638709338000
149,2069,1179031075,1660128926000
150,2104,8278473412,1654036279000
151,2921,4164300248,1656924674000
152,4833,3665033845,1637866762000
153,1798,8992239351,1649592582000
154,4988,8581290361,1653865553000
155,6572,7972855595,1660212410000
156,1036,8648062063,1654208920000
157,5989,3182767577,1638583518000
158,9334,0489030394,1641853139000
159,7955,1725987724,1639148914000
160,9233,5517414567,1651203776000
161,2001,3020860393,1642494735000
162,8991,4668427349,1651666329000
163,8722,4005407463,1656425489000
164,9297,6453147831,1666478862000
165,8434,4951213613,1636517729000
166,6139,2640858408,1644891470000
167,3461,0016909291,1658391643000
168,6501,8667304840,1642518483000
169,8354,4052976991,1656649481000
170,1512,6356650281,1636826179000
171,8876,3018581512,1653447302000
172,9395,7686572269,1638532558000
173,5215,2567487654,1662971625000
174,5302,6425266007,1663004087000
175,9789,3578282812,1657114942000
176,3691,5975864917,1657936987000
177,8070,6702073526,1648117964000
178,1356,2652726854,1655536375000
179,2532,7270352879,1639402535000
180,2590,9905247807,1643234649000
181,9275,7003697629,1650998528000
182,9704,1585502685,1639519840000
183,2397,1750119749,1659572404000
184,4128,1004034318,1647689950000
185,8568,4395943063,1650209277000
186,3516,6930691933,1644089046000
187,1303,6851349019,1647798171000
188,6811,5510781041,1660333240000
189,6316,5836304041,1657078969000
190,3125,7891499497,1653271483000
191,1021,6570384112,1652493534000
192,4574,9671175767,1662694772000
193,5226,8233457531,1637545264000
194,7705,5229719052,1663093464000
195,5447,6634564558,1646366082000
196,9492,6363994411,1661915053000
197,4477,8917508944,1645331649000
198,8744,6582855131,1648174572000
199,6103,2177467772,1640555110000
200,7974,1573971898,1646567362000
201,6715,8781834365,1641415362000
202,8550,3571848683,1664647106000
203,2897,6501851904,1657435442000
204,9252,9360080705,1637084173000
205,5585,6110368334,1642266649000
206,5768,8082787805,1661504939000
207,9555,5689374024,1644056621000
208,3671,9629227126,1650519111000
209,5105,7719081668,1644134887000
210,7886,0654344582,1647474925000
211,6200,6708776626,1666225864000
212,8564,1506218822,1647448509000
213,6057,5644465993,1657491790000
214,3805,8394470203,1648868756000
215,3249,8515740273,1635331201000
216,4011,6033391780,1646809874000
217,9276,8218562192,1651735183000
218,9359,8523102086,1661119959000
219,3057,4788670259,1637113377000
220,6058,2266864912,1647497819000
221,1818,9894122132,1657351869000
222,2545,4863455178,1637477400000
223,7165,5995481231,1657428585000
224,9610,8299684978,1648817110000
225,3213,8490358834,1651394773000
226,9803,3869742453,1660840606000
227,1171,2651168106,1645824163000
228,4354,8247998394,1646153879000
229,1469,6013912033,1653767514000
230,8055,5085295498,1666285382000
231,8306,3173010434,1660239106000
232,8745,4352888664,1653234521000
233,7594,1535000147,1664384628000
234,4887,1872009514,1658936307000
235,3383,8717589509,1638522630000
236,2529,8507666396,1648426671000
237,4243,0586192387,1648431592000
238,7993,5944006218,1646359377000
239,8793,1525785028,1655606806000
240,8013,9419446875,1637555391000
241,1738,0260798835,1665948928000
242,9671,1269819135,1665209548000
243,9784,4631973803,1635318267000
